Rank,Name,College,Year,Height,Position,GamesPlayed,Goals,Assists,Points,PPGAvg
1,Will Smith, Boston College (Hockey East),Fr.,6-0,F,41,25,46,71,1.73
2,Macklin Celebrini, Boston U. (Hockey East),Fr.,6-0,F,38,32,32,64,1.68
3,Gabe Perreault, Boston College (Hockey East),Fr.,5-11,F,36,19,41,60,1.67
4,Cutter Gauthier, Boston College (Hockey East),So.,6-2,F,41,38,27,65,1.59
5,Jackson Blake, North Dakota (NCHC),So.,5-11,F,40,22,38,60,1.50
6,Ryan Leonard, Boston College (Hockey East),Fr.,6-0,F,41,31,29,60,1.46
7,Rutger McGroarty, Michigan (Big Ten),So.,6-1,F,36,16,36,52,1.44
8,Collin Graf, Quinnipiac (ECAC Hockey),Jr.,6-0,F,34,22,27,49,1.44
9,Justin Hryckowian, Northeastern (Hockey East),Jr.,5-10,F,32,13,30,43,1.34
10,Gavin Brindley, Michigan (Big Ten),So.,5-9,F,40,25,28,53,1.33
11,Lane Hutson, Boston U. (Hockey East),So.,5-10,D,38,15,34,49,1.29
12,Jack Devine, Denver (NCHC),Jr.,5-11,F,44,27,29,56,1.27
13,Luke Grainger, Western Mich. (NCHC),Sr.,5-10,F,38,14,34,48,1.26
13,Lukas Sillinger, Arizona St. (DI Independent),Sr.,5-11,F,38,11,37,48,1.26
15,Gabriel Seger, Cornell (ECAC Hockey),Sr.,6-4,F,35,14,30,44,1.26
16,Bradly Nadeau, Maine (Hockey East),Fr.,5-10,F,37,19,27,46,1.24
17,Josh Nadeau, Maine (Hockey East),Fr.,5-8,F,37,18,27,45,1.22
18,Liam McLinskey, Holy Cross (Atlantic Hockey),Jr.,6-3,F,39,19,28,47,1.21
19,Dylan Duke, Michigan (Big Ten),Jr.,5-10,F,41,26,23,49,1.20
20,Zeev Buium, Denver (NCHC),Fr.,6-2,D,42,11,39,50,1.19
21,Jacob Quillan, Quinnipiac (ECAC Hockey),Jr.,6-0,F,39,17,29,46,1.18
22,T.J. Hughes, Michigan (Big Ten),So.,6-0,F,41,19,29,48,1.17
23,Alex Campbell, Northeastern (Hockey East),Sr.,5-11,F,36,22,20,42,1.17
24,Luke Haymes, Dartmouth (ECAC Hockey),So.,6-1,F,31,18,18,36,1.16
25,Dylan Wendt, Western Mich. (NCHC),Jr.,6-1,F,38,23,21,44,1.16
26,Sam Colangelo, Western Mich. (NCHC),Sr.,6-3,F,38,24,19,43,1.13
27,Seamus Casey, Michigan (Big Ten),So.,5-10,D,40,7,38,45,1.13
28,Cody Laskosky, RIT (Atlantic Hockey),Sr.,5-11,F,37,14,27,41,1.11
29,Matt Copponi, Merrimack (Hockey East),Jr.,0-0,F,30,7,25,32,1.07
30,Jack Williams, Northeastern (Hockey East),So.,5-11,F,34,17,19,36,1.06
31,Elijah Gonsalves, RIT (Atlantic Hockey),Sr.,5-9,F,36,20,18,38,1.06
32,Connor Milburn, Lake Superior St. (CCHA),So.,6-4,F,34,16,19,35,1.03
33,Noah Laba, Colorado Col. (NCHC),So.,0-0,F,36,20,17,37,1.03
33,Tim Lovell, Arizona St. (DI Independent),Sr.,5-8,D,36,5,32,37,1.03
35,Carter Wilkie, RIT (Atlantic Hockey),Jr.,6-2,F,40,16,25,41,1.03
36,Oskar Jellvik, Boston College (Hockey East),So.,5-11,F,41,13,29,42,1.02
37,Aiden Fink, Penn St. (Big Ten),Fr.,5-10,F,34,15,19,34,1.00
37,Isaac  Howard, Michigan St. (Big Ten),So.,5-11,F,36,8,28,36,1.00
37,Dylan Hryckowian, Northeastern (Hockey East),Fr.,5-10,F,34,7,27,34,1.00
37,Owen McLaughlin, North Dakota (NCHC),So.,6-0,F,39,13,26,39,1.00
37,Frank Nazar III, Michigan (Big Ten),So.,5-10,F,41,17,24,41,1.00
37,Brady Risk, Alas. Fairbanks (DI Independent),Jr.,5-9,F,33,13,20,33,1.00
43,Chris Hedden, Air Force (Atlantic Hockey),So.,6-0,D,38,8,29,37,0.97
44,Matteo Giampa, Canisius (Atlantic Hockey),Fr.,6-0,F,36,18,17,35,0.97
44,John Prokop, Union (NY) (ECAC Hockey),So.,6-3,D,36,8,27,35,0.97
46,Josh Zary, LIU (DI Independent),So.,6-0,F,35,20,14,34,0.97
47,Joey Baez, Army West Point (Atlantic Hockey),Jr.,5-9,F,32,15,16,31,0.97
48,Adam Robbins, Princeton (ECAC Hockey),Sr.,5-8,F,30,11,18,29,0.97
49,Gianfranco Cassaro, RIT (Atlantic Hockey),Sr.,6-0,D,40,18,20,38,0.95
49,Eamon Powell, Boston College (Hockey East),Sr.,5-11,D,40,5,33,38,0.95
51,Alex Bump, Western Mich. (NCHC),Fr.,6-0,F,38,14,22,36,0.95
51,Will Gavin, Air Force (Atlantic Hockey),Sr.,5-10,F,38,19,17,36,0.95
51,Stephen Halliday, Ohio St. (Big Ten),So.,6-4,F,38,10,26,36,0.95
51,Matthew Kopperud, Arizona St. (DI Independent),Sr.,5-11,F,38,23,13,36,0.95
51,Jared Westcott, Lake Superior St. (CCHA),Sr.,6-1,F,38,18,18,36,0.95
51,Jeremy Wilmer, Boston U. (Hockey East),So.,5-8,F,38,6,30,36,0.95
57,Isaiah Fox, LIU (DI Independent),Jr.,5-11,F,37,14,21,35,0.95
57,Veeti Miettinen, St. Cloud St. (NCHC),Sr.,5-9,F,37,20,15,35,0.95
59,Cruz Lucius, Wisconsin (Big Ten),So.,6-0,F,36,13,21,34,0.94
60,Andre Ghantous, Northern Mich. (CCHA),Sr.,5-9,F,34,9,23,32,0.94
61,Anton Rubtsov, Alas. Fairbanks (DI Independent),Jr.,5-10,F,30,8,20,28,0.93
62,Tristan Broz, Denver (NCHC),Jr.,6-0,F,43,16,24,40,0.93
63,Anthony Romano, Clarkson (ECAC Hockey),Sr.,5-11,F,27,10,15,25,0.93
64,Cameron Berg, North Dakota (NCHC),Jr.,5-11,F,40,20,17,37,0.93
65,Bryce Brodzinski, Minnesota (Big Ten),Sr.,6-0,F,39,14,22,36,0.92
65,Mason Marcellus, Quinnipiac (ECAC Hockey),Fr.,5-9,F,39,14,22,36,0.92
65,Rhett Pitlick, Minnesota (Big Ten),Jr.,5-10,F,39,19,17,36,0.92
68,Karsen Dorwart, Michigan St. (Big Ten),So.,6-1,F,38,15,20,35,0.92
68,Artyom Levshunov, Michigan St. (Big Ten),Fr.,6-2,D,38,9,26,35,0.92
70,Ian Murphy, Princeton (ECAC Hockey),Sr.,5-11,F,25,11,12,23,0.92
71,Carter King, Denver (NCHC),Jr.,5-11,F,37,15,19,34,0.92
71,Sam Morton, Minnesota St. (CCHA),Sr.,6-0,F,37,24,10,34,0.92
71,Ben Steeves, Minn. Duluth (NCHC),So.,5-8,F,37,24,10,34,0.92
74,Dalton Bancroft, Cornell (ECAC Hockey),So.,6-3,F,34,12,19,31,0.91
74,Ryan Conmy, New Hampshire (Hockey East),Fr.,5-10,F,34,14,17,31,0.91
74,Chris Pappas, LIU (DI Independent),Jr.,5-11,F,34,11,20,31,0.91
